ZIPCODE,COMPLAINT_COUNT
10001,31732
10002,47009
10003,65441
10004,16128
10005,26042
10006,14939
10007,16342
10009,45535
10010,35618
10011,59020
10012,44112
10013,30282
10014,47118
10016,25177
10017,16740
10018,51762
10019,44871
10020,23327
10021,33719
10022,16821
10023,37753
10024,30393
10025,38514
10026,77476
10027,73004
10028,23955
10029,71809
10030,60247
10031,38380
10032,37456
10033,40931
10034,25853
10035,37168
10036,36099
10037,38822
10038,30314
10039,49693
10040,34725
10041,25605
10044,22437
10045,31287
10055,30812
10060,24407
10065,29632
10069,32955
10075,20556
10103,22680
10110,30294
10111,18360
10112,22037
10115,39048
10119,78107
10128,29862
10152,14582
10153,35592
10154,16256
10162,20351
10165,27603
10167,14364
10168,20940
10169,11117
10170,23314
10171,16462
10172,12281
10173,36664
10174,29184
10177,16187
10199,32570
10271,15808
10278,31579
10279,12848
10280,9699
10281,13086
10282,16949
10301,32356
10302,31100
10303,14520
10304,19603
10305,22719
10306,21591
10307,11507
10308,13403
10309,11667
10310,28820
10311,10159
10312,13694
10314,10438
10451,66476
10452,111038
10453,68569
10454,49105
10455,50621
10456,67300
10457,73987
10458,91975
10459,46803
10460,54106
10461,34066
10462,47273
10463,38414
10464,9842
10465,18638
10466,37340
10467,51188
10468,65487
10469,29302
10470,38104
10471,14261
10472,68524
10473,32636
10474,41707
10475,22741
11001,4512
11003,4349
11004,5349
11005,5333
11010,1966
11020,3519
11021,4577
11023,2167
11024,6425
11030,1423
11040,1091
11042,3942
11050,2127
11096,3043
11101,25085
11102,24484
11103,45182
11104,26995
11105,26000
11106,23304
11109,28402
11201,33020
11203,51042
11204,35173
11205,53456
11206,60905
11207,58838
11208,60959
11209,25829
11210,38603
11211,40628
11212,81521
11213,73880
11214,43679
11215,40559
11216,57949
11217,32219
11218,36945
11219,27930
11220,52463
11221,72479
11222,21409
11223,38834
11224,47232
11225,51656
11226,69467
11228,26701
11229,40983
11230,47302
11231,27466
11232,24814
11233,64710
11234,20568
11235,41826
11236,50855
11237,54562
11238,52759
11239,33311
11241,22803
11242,12992
11243,31902
11249,48177
11252,11190
11256,29714
11351,24095
11354,22802
11355,37598
11356,23636
11357,20166
11358,17219
11359,10592
11360,15857
11361,18951
11362,6125
11363,6164
11364,10110
11365,16601
11366,10762
11367,46613
11368,30197
11369,27413
11370,29471
11371,13350
11372,56150
11373,53944
11374,38599
11375,28237
11377,26903
11378,23193
11379,28649
11385,49377
11411,15123
11412,21451
11413,18254
11414,20893
11415,19990
11416,28132
11417,20414
11418,26307
11419,24952
11420,22527
11421,38567
11422,15024
11423,17116
11424,35805
11425,12882
11426,8078
11427,10559
11428,16992
11429,15187
11430,6885
11432,21280
11433,33202
11434,21800
11435,36250
11436,24837
11451,30035
11501,219
11507,842
11509,6578
11510,6
11514,823
11516,12190
11518,3151
11520,43
11530,1129
11542,592
11545,456
11547,712
11548,1232
11552,1276
11557,1307
11558,3051
11559,3931
11560,604
11561,831
11563,2570
11565,4414
11568,42
11569,931
11570,899
11572,3238
11576,2408
11577,326
11579,1318
11580,4777
11581,12120
11596,349
11598,6677
11691,25607
11692,19893
11693,15974
11694,11394
11697,3193